cond,seed,success,arrived,v_max,v_mean,a_max,a_mean,jerk_rms,path_len,completion,form_rmse_mean,form_rmse_max,inter_min,clearance,clearance_min,near_miss
baseline,seed1,1,7,1.5949913408089633,0.9555953474789379,1.2419370292501166,0.20695571216665393,0.6100964987077465,51.37469551623069,43.730000000000004,0.19284488754441276,0.789471549865256,1.6652867644943319,1.0880006594864517,0.0016124515496595323,0.06237903826112848
baseline,seed2,1,7,1.5894165470591852,0.9952964799636612,1.6847171848185947,0.24119676116718197,0.8758555903385531,51.660908132433526,45.80014285714286,0.14734834785854062,0.6344340164214598,1.720248397179896,1.10074916220721,0.008628441342445465,0.05530233971437253
baseline,seed3,1,7,1.5577631988651208,0.9555361623886242,1.2331878075665308,0.18789782515694928,0.5782583615765581,51.155079536665134,47.29,0.1571651467418299,0.7598313268778499,1.014613831415678,1.0632804760182417,0.0021840329667842506,0.06659433066594331
baseline,seed4,1,7,1.5748907906378053,0.9475242152611248,1.0174784961473182,0.20053014009221948,0.5530542227784756,51.213687184329885,44.297142857142866,0.21063911466273746,0.8582217303105008,1.493710022494326,1.2497727798643599,0.015720368952413254,0.03257918552036199
baseline,seed5,1,7,1.5901159653289463,1.0248089620691383,1.59821301365222,0.253265957902462,0.6748728106639021,51.69752410760773,43.480000000000004,0.17099601502288977,0.8301461515262102,2.102626060453928,1.0802879947966684,0.005249761899363501,0.07302405498281787
fish,seed1,1,7,1.085952978654139,0.6676147718838724,0.6546605366843721,0.09769944147655982,0.26096204379086035,52.01196760958135,68.05428571428573,0.1806458063885913,0.5544437336979513,1.9283337388014579,0.997719157819829,0.006444377394286386,0.0576308429884139
fish,seed2,1,7,1.0976651539279396,0.70181983680608,0.5396440463566096,0.10641923191429623,0.24097153433181578,52.12147741848725,65.96857142857142,0.21488950092638437,0.675937484921188,1.7113729751868816,1.05900386712351,0.006280127387243656,0.059089043906442346
fish,seed3,1,7,1.199048587069887,0.8429832506511168,1.5276019225294066,0.1651386843569045,0.5552231344801984,52.88590676338946,58.65,0.22726292986000635,1.1178668087823123,2.0890927845598433,1.219789244235182,0.008528774824088344,0.05019734844651351
fish,seed4,1,7,1.0819988905607063,0.6603407793837398,0.5219296337432013,0.08953571374766954,0.21641455551725994,51.95752249429829,69.62,0.20303828947213215,0.6852420957355987,1.963526069829479,1.1373454374464724,0.009526804291051499,0.0849579510703364
fish,seed5,1,7,1.165850766709559,0.7590945732341171,1.026809765939672,0.15411138597016252,0.4153924939620652,52.64842645310698,60.212857142857146,0.2602639187738433,0.963162505841853,0.8313610315481837,1.057199658401728,0.0067955868032129755,0.07718770156955493
