t,x,y,z
0.007,-19.9293,2.9804,0.5000
0.016,-19.9214,2.9801,0.5000
0.026,-19.9134,2.9797,0.5000
0.036,-19.9055,2.9793,0.5000
0.046,-19.8975,2.9790,0.5000
0.057,-19.8896,2.9786,0.5000
0.067,-19.8817,2.9782,0.5000
0.076,-19.8738,2.9779,0.5000
0.087,-19.8659,2.9775,0.5000
0.097,-19.8580,2.9771,0.5000
0.106,-19.8489,2.9767,0.5000
0.116,-19.8411,2.9763,0.5000
0.127,-19.8344,2.9760,0.5000
0.138,-19.8266,2.9756,0.5000
0.151,-19.8188,2.9752,0.5000
0.157,-19.8109,2.9748,0.5000
0.167,-19.8031,2.9745,0.5000
0.177,-19.7950,2.9741,0.5000
0.186,-19.7875,2.9737,0.5000
0.197,-19.7797,2.9733,0.5000
0.206,-19.7720,2.9729,0.5000
0.216,-19.7642,2.9725,0.5000
0.227,-19.7565,2.9722,0.5000
0.237,-19.7487,2.9718,0.5000
0.246,-19.7409,2.9714,0.5000
0.256,-19.7332,2.9710,0.5000
0.266,-19.7254,2.9706,0.5000
0.276,-19.7177,2.9702,0.5000
0.287,-19.7100,2.9698,0.5000
0.296,-19.7023,2.9694,0.5000
0.307,-19.6946,2.9690,0.5000
0.317,-19.6868,2.9686,0.5000
0.326,-19.6791,2.9682,0.5000
0.336,-19.6714,2.9679,0.5000
0.347,-19.6637,2.9675,0.5000
0.356,-19.6560,2.9671,0.5000
0.366,-19.6483,2.9667,0.5000
0.376,-19.6406,2.9663,0.5000
0.386,-19.6329,2.9659,0.5000
0.396,-19.6252,2.9654,0.5000
0.406,-19.6175,2.9650,0.5000
0.416,-19.6098,2.9646,0.5000
0.427,-19.6021,2.9642,0.5000
0.436,-19.5944,2.9638,0.5000
0.447,-19.5867,2.9634,0.5000
0.456,-19.5791,2.9630,0.5000
0.467,-19.5714,2.9626,0.5000
0.476,-19.5637,2.9622,0.5000
0.486,-19.5560,2.9618,0.5000
0.496,-19.5483,2.9613,0.5000
